"","time","min_delay","max_delay"
"1",0,7.10932380101281,9.3187414500684
"2",1,6.3102119460501,8.30582010582011
"3",2,6.04237288135593,11.7513513513514
"4",3,11.9014084507042,21.3706293706294
"5",4,6.1443661971831,11.0471014492754
"6",5,5.66185573727764,6.40119325969524
"7",6,5.59559412961707,6.38098862742938
"8",7,5.96069202306744,7.44624590366827
"9",8,6.49218132716959,8.68488993760828
"10",9,7.1275138121547,9.37921981882048
"11",10,7.97632660353761,10.0716444342883
"12",11,8.88978455565694,10.8326780203452
"13",12,9.71447871358903,11.8852963633194
"14",13,10.4836897496897,13.2717189640324
"15",14,11.4239606164739,14.8252291468686
"16",15,11.673629131748,15.5739089629282
"17",16,12.2357381886222,16.7413081262388
"18",17,12.7783839001543,18.1458149971205
"19",18,13.0166669690976,19.4358969414124
"20",19,12.2166432194291,19.1126295509314
"21",20,11.9252325123451,19.4042427031524
"22",21,10.4928892474358,17.5573879242121
"23",22,8.78178724402981,13.0951246415178
"24",23,8.69679546799696,12.1204885412378
